,objectID,Title,ArtistName,TimePeriod,Region Detailed,Country,Century,Culture,primaryImage
68,37801,Portrait of Jnanatapa Attended by Lamas and Mahasiddhas,Unidentified artist,ca. 1350,"Eastern Tibet, Kham, Riwoche monastery",China,1300's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-15583-020.jpg
69,37803,Mandala of Hevajra,Sakya School,16th century,China,China,1600's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/LC-1982_225_at--001.jpg
70,37811,Demons Fighting Over an Animal Limb,Unidentified artist,late 17th century,"India (Rajasthan, Bikaner or the Deccan)",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP153174.jpg
71,37819,"Buddhist Attendant, Possibly a Dakini",Unidentified artist,late 18th century,Eastern Tibet,China,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/38_103.JPG
72,37855,Krishna's Parents Search for Him,Unidentified artist,ca. 1615,India,India,1600's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP156112.jpg
73,37869,A Lady Applying Henna to Her Foot,"Ustad Mohamed, son of Murad",ca. 1720–30,"India (Rajasthan, Bikaner)",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP156120.jpg
74,37873,Lady Musician Playing a Sitar,Unidentified artist,ca. 1800,"India (Rajasthan, Kota)",India,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP156128.jpg
75,37876,Portrait of Thakur Utham Ram,Unidentified artist,ca. 1760,"India (Rajasthan, Jhilai)",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP156138.jpg
76,37877,Head of Krishna: cartoon for a mural of the Raslila,Sahib Ram,ca. 1800,"India (Rajasthan, Jaipur)",India,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP153194.jpg
77,37878,Preparatory Study for a Portrait of Man Singh and His Harem,Unidentified artist,1810–15,"India (Rajasthan, Jodhpur)",India,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/34_89_recto.jpg
78,37880,An Encampment of Yogis,Unidentified artist,ca. 1660,"India (Deccan, Aurangabad?)",India,1600's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT8232.jpg
79,37898,A King Seated on His Throne,Unidentified artist,1725,India (Gujarat),India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP152332.jpg
80,37913,Bishen Singh as a Young Man,Unidentified artist,ca. 1780,"India (Rajasthan, Uniara)",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP156131.jpg
81,37914,Maharana Sangram Singh Hunting Wild Boar,Unidentified artist,ca. 1725,"Western India, Rajasthan, Udaipur",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP156165.jpg
82,37915,Maharana Amar Singh II or Sangram Singh Hunting Wild Boar,Unidentified artist,19th century,"Western India, Rajasthan, Udaipur",India,1900's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP156166.jpg
83,37916,Maharana Jagat Singh II in Procession,Unidentified artist,ca. 1745,"India (Rajasthan, Mewar)",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP156167.jpg
84,37922,Horoscope with Floral Drawings,Unidentified artist,1850,"India (Madhya Pradesh, Gwalior or Indore)",India,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP152299.jpg
85,37924,Double Sided Painting; Male with Flower/ Soldier,Unidentified artist,mid-late 19th century,India,India,1900's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP152300.jpg
